label,count
Carbohydrate (g),0
Fat (g),4.2
Protein (g),24.5
Fibre (g),0
Water (g),70.3
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.02
Sum of monounsaturated fatty acids (g),1.51
Sum of polyunsaturated fatty acids (g),0.32
Cholesterol (mg),78
Vitamin D (µg),0.4
Vitamin E (mg),0.7
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.2
Vitamin B-12 (µg),1.2
Phosphorus (mg),190
Iodide (µg),0
Iron (mg),1.5
Potassium (mg),220
Magnesium (mg),17
Sodium (mg),66
Salt (g),0.17
Selenium (µg),1.4
Zinc (mg),3.4
