label,count
Carbohydrate (g),4.1
Fat (g),0.15
Protein (g),1.56
Fibre (g),2.71
Water (g),90.9
Monosaccharides (g),3.5
Disaccharides (g),0.5
Sucrose (g),0.5
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.07
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.78
Vitamin K (�g),53.5
Vitamin C (mg),20.3
Vitamin B-6 (mg),0.21
Vitamin B-12 (�g),0
Phosphorus (mg),29
Iodide (�g),1.1
Iron (mg),0.56
Potassium (mg),240
Magnesium (mg),11
Sodium (mg),6
Salt (g),0.02
Selenium (�g),0
Zinc (mg),0.24
