label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),2.6
Protein (g),20.88
Fibre (g),0
Water (g),74.5
Alcohol (g),0
Ash (g),1.1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.01
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0.01
Fatty acid 14:0 (g),0.08
Fatty acid 16:0 (g),0.51
Fatty acid 18:0 (g),0.32
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),1.03
Fatty acid 16:1 (g),0.05
Fatty acid 18:1 (g),0.94
Sum of polyunsaturated fatty acids (g),0.26
Fatty acids 18:2 (g),0.15
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0.03
EPA (Fatty acid 20:5) (g),0.01
DPA (Fatty acid 22:5) (g),0.01
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),61.9
Retinol (�g),3.9
Retinolequivalents (�g),3.9
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0.27
Vitamin K (�g),5.3
Thiamin (mg),0.21
Riboflavin (mg),0.28
Vitamin C (mg),0
Niacin (mg),7.31
Niacinequivalents (mg),11.1
Vitamin B-6 (mg),0.34
Vitamin B-12 (�g),1.57
Folate (�g),1
Phosphorus (mg),220
Iodide (�g),4.6
Iron (mg),2.08
Calcium (mg),4.3
Potassium (mg),350
Magnesium (mg),27
Sodium (mg),68
Salt (g),0.17
Selenium (�g),9.58
Zinc (mg),3.51
Waste (e.g. peel) (%),26
