label,count
CO2 footprint,0.7
Carbohydrate (g),1.1
Fat (g),0.2
Protein (g),1.4
Fibre (g),1.2
Water (g),95
Alcohol (g),0
Ash (g),1.1
Monosaccharides (g),0.7
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.03
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0.12
Fatty acids 18:2 (g),0.05
Fatty acid 18:3 (g),0.06
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),108.3
Beta-carotene (�g),1300.00
Vitamin D (�g),0
Vitamin E (mg),0.3
Vitamin K (�g),0
Thiamin (mg),0.08
Riboflavin (mg),0.1
Vitamin C (mg),9
Niacin (mg),0.5
Niacinequivalents (mg),0.73
Vitamin B-6 (mg),0.06
Vitamin B-12 (�g),0
Folate (�g),73
Phosphorus (mg),32
Iodide (�g),1
Iron (mg),0.7
Calcium (mg),65
Potassium (mg),360
Magnesium (mg),13
Sodium (mg),6
Salt (g),0.02
Selenium (�g),0.5
Zinc (mg),0.5
Waste (e.g. peel) (%),10
