label,count
CO2 footprint,0.7
Carbohydrate (g),2.6
Fat (g),0.2
Protein (g),1.8
Fibre (g),0.8
Water (g),93
Alcohol (g),0
Ash (g),1.6
Monosaccharides (g),0.2
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.02
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.12
Fatty acids 18:2 (g),0.02
Fatty acid 18:3 (g),0.09
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),165
Beta-carotene (�g),1980.00
Vitamin D (�g),0
Vitamin E (mg),1.5
Vitamin K (�g),0
Thiamin (mg),0.04
Riboflavin (mg),0.09
Vitamin C (mg),30
Niacin (mg),0.4
Niacinequivalents (mg),0.7
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),0
Folate (�g),30
Phosphorus (mg),46
Iodide (�g),0
Iron (mg),1.8
Calcium (mg),51
Potassium (mg),380
Magnesium (mg),81
Sodium (mg),215
Salt (g),0.54
Selenium (�g),0.5
Zinc (mg),0.6
Waste (e.g. peel) (%),8
