label,count
Carbohydrate (g),0.41
Fat (g),87.81
Protein (g),1.46
Fibre (g),0.07
Water (g),9.13
Monosaccharides (g),0.04
Disaccharides (g),0.03
Sucrose (g),0.01
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),9.29
Sum of monounsaturated fatty acids (g),57.5
Sum of polyunsaturated fatty acids (g),16.97
Cholesterol (mg),75.32
Vitamin D (µg),0.29
Vitamin E (mg),20.5
Vitamin K (µg),0
Vitamin C (mg),0.9
Vitamin B-6 (mg),0.02
Vitamin B-12 (µg),0.29
Phosphorus (mg),43.5
Iodide (µg),0
Iron (mg),0.35
Potassium (mg),21.9
Magnesium (mg),6.5
Sodium (mg),222.1
Salt (g),0.56
Selenium (µg),4.76
Zinc (mg),0.29
