label,count
CO2 footprint,16
Carbohydrate (g),0
Fat (g),15
Protein (g),19.38
Fibre (g),0
Water (g),66.4
Alcohol (g),0
Ash (g),0.9
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),6.6
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0.01
Fatty acid 14:0 (g),0.43
Fatty acid 16:0 (g),3.53
Fatty acid 18:0 (g),2.04
Fatty acid 20:0 (g),0.02
Sum of monounsaturated fatty acids (g),6.86
Fatty acid 16:1 (g),0.63
Fatty acid 18:1 (g),5.91
Sum of polyunsaturated fatty acids (g),0.65
Fatty acids 18:2 (g),0.43
Fatty acid 18:3 (g),0.1
Fatty acid 20:4 (g),0.04
EPA (Fatty acid 20:5) (g),0.01
DPA (Fatty acid 22:5) (g),0.02
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),61.7
Retinol (�g),10.5
Retinolequivalents (�g),12.8
Beta-carotene (�g),28
Vitamin D (�g),0.15
Vitamin E (mg),0.67
Vitamin K (�g),8.2
Thiamin (mg),0.06
Riboflavin (mg),0.15
Vitamin C (mg),0
Niacin (mg),4.37
Niacinequivalents (mg),7.9
Vitamin B-6 (mg),0.26
Vitamin B-12 (�g),1.57
Folate (�g),3.3
Phosphorus (mg),160
Iodide (�g),2.7
Iron (mg),1.94
Calcium (mg),6.6
Potassium (mg),280
Magnesium (mg),20
Sodium (mg),83
Salt (g),0.21
Selenium (�g),5.26
Zinc (mg),4.91
Waste (e.g. peel) (%),0
