label,count
CO2 footprint,7.28
Carbohydrate (g),0
Fat (g),20.3
Protein (g),18.6
Fibre (g),0
Water (g),57.4
Alcohol (g),0
Ash (g),3.28
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),13.75
Fatty acids 4:0-10:0 (g),2.12
Fatty acid 12:0 (g),0.67
Fatty acid 14:0 (g),2.17
Fatty acid 16:0 (g),5.82
Fatty acid 18:0 (g),2.03
Fatty acid 20:0 (g),0.03
Sum of monounsaturated fatty acids (g),5.04
Fatty acid 16:1 (g),0.32
Fatty acid 18:1 (g),4.16
Sum of polyunsaturated fatty acids (g),0.76
Fatty acids 18:2 (g),0.55
Fatty acid 18:3 (g),0.14
Fatty acid 20:4 (g),0.03
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0.01
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),58
Retinol (�g),258
Retinolequivalents (�g),283
Beta-carotene (�g),152
Vitamin D (�g),0.2
Vitamin E (mg),0.31
Vitamin K (�g),0
Thiamin (mg),0.03
Riboflavin (mg),0.4
Vitamin C (mg),0
Niacin (mg),0.1
Niacinequivalents (mg),4.44
Vitamin B-6 (mg),0.1
Vitamin B-12 (�g),1.7
Folate (�g),20
Phosphorus (mg),267
Iodide (�g),0
Iron (mg),0
Calcium (mg),362
Potassium (mg),51
Magnesium (mg),15
Sodium (mg),395
Salt (g),0.99
Selenium (�g),6
Zinc (mg),2.7
Waste (e.g. peel) (%),0
