label,count
CO2 footprint,3.62
Carbohydrate (g),0
Fat (g),1.2
Protein (g),23.1
Fibre (g),0
Water (g),74.68
Alcohol (g),0
Ash (g),1.02
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.38
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.01
Fatty acid 16:0 (g),0.29
Fatty acid 18:0 (g),0.08
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.58
Fatty acid 16:1 (g),0.09
Fatty acid 18:1 (g),0.47
Sum of polyunsaturated fatty acids (g),0.17
Fatty acids 18:2 (g),0.14
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0.01
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0.01
Cholesterol (mg),58
Retinol (�g),7
Retinolequivalents (�g),7
Beta-carotene (�g),0
Vitamin D (�g),0.4
Vitamin E (mg),1.1
Vitamin K (�g),0
Thiamin (mg),0.24
Riboflavin (mg),0.14
Vitamin C (mg),0
Niacin (mg),12
Niacinequivalents (mg),16.24
Vitamin B-6 (mg),0.9
Vitamin B-12 (�g),0.26
Folate (�g),23
Phosphorus (mg),196
Iodide (�g),0
Iron (mg),0.72
Calcium (mg),11
Potassium (mg),255
Magnesium (mg),28
Sodium (mg),65
Salt (g),0.16
Selenium (�g),11.2
Zinc (mg),0.8
Waste (e.g. peel) (%),0
