label,count
CO2 footprint,0.23
Carbohydrate (g),8.23
Fat (g),1.14
Protein (g),1.34
Fibre (g),2.12
Water (g),85.5
Alcohol (g),0
Ash (g),1.71
Monosaccharides (g),3.38
Disaccharides (g),1.69
Sucrose (g),1.69
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.14
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.09
Fatty acid 18:0 (g),0.02
Fatty acid 20:0 (g),0.01
Sum of monounsaturated fatty acids (g),0.61
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.59
Sum of polyunsaturated fatty acids (g),0.33
Fatty acids 18:2 (g),0.24
Fatty acid 18:3 (g),0.09
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),3
Retinolequivalents (�g),3.4
Beta-carotene (�g),4
Vitamin D (�g),0.04
Vitamin E (mg),0.31
Vitamin K (�g),0
Thiamin (mg),0.04
Riboflavin (mg),0
Vitamin C (mg),5.3
Niacin (mg),0.16
Niacinequivalents (mg),0.34
Vitamin B-6 (mg),0.16
Vitamin B-12 (�g),0
Folate (�g),16.1
Phosphorus (mg),38
Iodide (�g),60.2
Iron (mg),0.25
Calcium (mg),36.7
Potassium (mg),214.7
Magnesium (mg),12.8
Sodium (mg),475
Salt (g),1.19
Selenium (�g),0
Zinc (mg),0.12
Waste (e.g. peel) (%),7.9
