label,count
CO2 footprint,0.94
Carbohydrate (g),10.6
Fat (g),0.2
Protein (g),0.7
Fibre (g),0.1
Water (g),88
Alcohol (g),0
Ash (g),0.4
Monosaccharides (g),4.8
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.02
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.04
Fatty acid 16:1 (g),0.01
Fatty acid 18:1 (g),0.03
Sum of polyunsaturated fatty acids (g),0.06
Fatty acids 18:2 (g),0.03
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),10
Beta-carotene (�g),120
Vitamin D (�g),0
Vitamin E (mg),0.24
Vitamin K (�g),0
Thiamin (mg),0.09
Riboflavin (mg),0.03
Vitamin C (mg),50
Niacin (mg),0.4
Niacinequivalents (mg),0.52
Vitamin B-6 (mg),0.04
Vitamin B-12 (�g),0
Folate (�g),30
Phosphorus (mg),17
Iodide (�g),0
Iron (mg),0.2
Calcium (mg),11
Potassium (mg),200
Magnesium (mg),11
Sodium (mg),1
Salt (g),0
Selenium (�g),0.2
Zinc (mg),0.1
Waste (e.g. peel) (%),0
