label,count
CO2 footprint,0.92
Carbohydrate (g),10.24
Fat (g),0.1
Protein (g),0.8
Fibre (g),1.9
Water (g),86.5
Alcohol (g),0
Ash (g),0.46
Monosaccharides (g),5.3
Disaccharides (g),3.6
Sucrose (g),3.6
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.01
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.01
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.02
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.02
Sum of polyunsaturated fatty acids (g),0.03
Fatty acids 18:2 (g),0.02
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),3.2
Beta-carotene (�g),38
Vitamin D (�g),0
Vitamin E (mg),0.55
Vitamin K (�g),0
Thiamin (mg),0.08
Riboflavin (mg),0.04
Vitamin C (mg),53
Niacin (mg),0.3
Niacinequivalents (mg),0.43
Vitamin B-6 (mg),0.06
Vitamin B-12 (�g),0
Folate (�g),30
Phosphorus (mg),21
Iodide (�g),0.3
Iron (mg),0.15
Calcium (mg),41
Potassium (mg),158
Magnesium (mg),10
Sodium (mg),0.7
Salt (g),0
Selenium (�g),0.2
Zinc (mg),0.1
Waste (e.g. peel) (%),29
