label,count
CO2 footprint,0.7
Carbohydrate (g),4.1
Fat (g),0.23
Protein (g),0.5
Fibre (g),0.9
Water (g),93.4
Alcohol (g),0
Ash (g),0.89
Monosaccharides (g),4.8
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0
Fatty acids 18:2 (g),0
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),39.9
Beta-carotene (�g),417
Vitamin D (�g),0
Vitamin E (mg),2.55
Vitamin K (�g),6.5
Thiamin (mg),0.02
Riboflavin (mg),0.05
Vitamin C (mg),144
Niacin (mg),0.79
Niacinequivalents (mg),0.9
Vitamin B-6 (mg),0.24
Vitamin B-12 (�g),0
Folate (�g),56.7
Phosphorus (mg),14.9
Iodide (�g),0
Iron (mg),0.28
Calcium (mg),7.7
Potassium (mg),116
Magnesium (mg),7.6
Sodium (mg),0
Salt (g),0
Selenium (�g),0
Zinc (mg),0.16
Waste (e.g. peel) (%),15
