label,count
Carbohydrate (g),12.6
Fat (g),0.6
Protein (g),1.69
Fibre (g),3.76
Water (g),80.4
Monosaccharides (g),1.3
Disaccharides (g),4.7
Sucrose (g),4.6
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.09
Sum of monounsaturated fatty acids (g),0.03
Sum of polyunsaturated fatty acids (g),0.36
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.74
Vitamin K (�g),0
Vitamin C (mg),16.6
Vitamin B-6 (mg),0.09
Vitamin B-12 (�g),0
Phosphorus (mg),56
Iodide (�g),0.3
Iron (mg),0.39
Potassium (mg),400
Magnesium (mg),18
Sodium (mg),3
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.48
