label,count
Carbohydrate (g),71.9
Fat (g),1.2
Protein (g),12.5
Fibre (g),3.1
Water (g),10.6
Monosaccharides (g),0.3
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.13
Sum of monounsaturated fatty acids (g),0.17
Sum of polyunsaturated fatty acids (g),0.5
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.7
Vitamin K (�g),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.06
Vitamin B-12 (�g),0
Phosphorus (mg),162
Iodide (�g),0
Iron (mg),1.3
Potassium (mg),197
Magnesium (mg),48
Sodium (mg),2
Salt (g),0.01
Selenium (�g),1
Zinc (mg),1
