label,count
CO2 footprint,2.5
Carbohydrate (g),14.3
Fat (g),51
Protein (g),22.6
Fibre (g),7.6
Water (g),1.3
Alcohol (g),0
Ash (g),3.2
Monosaccharides (g),8.8
Disaccharides (g),6.4
Sucrose (g),6.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),8.5
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),5.76
Fatty acid 18:0 (g),1.94
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),24.6
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),23.86
Sum of polyunsaturated fatty acids (g),15.34
Fatty acids 18:2 (g),15.34
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),4.7
Vitamin K (�g),0
Thiamin (mg),0.15
Riboflavin (mg),0.1
Vitamin C (mg),0
Niacin (mg),13.5
Niacinequivalents (mg),17.27
Vitamin B-6 (mg),0.39
Vitamin B-12 (�g),0
Folate (�g),82
Phosphorus (mg),375
Iodide (�g),0
Iron (mg),1.8
Calcium (mg),33
Potassium (mg),680
Magnesium (mg),175
Sodium (mg),470
Salt (g),1.18
Selenium (�g),2
Zinc (mg),2.9
Waste (e.g. peel) (%),0
