label,count
CO2 footprint,0.23
Carbohydrate (g),8.8
Fat (g),0.4
Protein (g),5.4
Fibre (g),5.5
Water (g),79
Alcohol (g),0
Ash (g),0.9
Monosaccharides (g),0.3
Disaccharides (g),3.7
Sucrose (g),3.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.08
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.07
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.03
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.03
Sum of polyunsaturated fatty acids (g),0.22
Fatty acids 18:2 (g),0.18
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),45.8
Beta-carotene (�g),550
Vitamin D (�g),0
Vitamin E (mg),0.13
Vitamin K (�g),0
Thiamin (mg),0.41
Riboflavin (mg),0.13
Vitamin C (mg),40
Niacin (mg),2.1
Niacinequivalents (mg),3
Vitamin B-6 (mg),0.17
Vitamin B-12 (�g),0
Folate (�g),65
Phosphorus (mg),130
Iodide (�g),0.2
Iron (mg),2
Calcium (mg),31
Potassium (mg),370
Magnesium (mg),40
Sodium (mg),1
Salt (g),0
Selenium (�g),0.2
Zinc (mg),1.3
Waste (e.g. peel) (%),60
