label,count
CO2 footprint,0.7
Carbohydrate (g),4.3
Fat (g),0.15
Protein (g),0.5
Fibre (g),1.4
Water (g),93.2
Alcohol (g),0
Ash (g),0.47
Monosaccharides (g),4.8
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0
Fatty acids 18:2 (g),0
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),16.8
Beta-carotene (�g),133
Vitamin D (�g),0
Vitamin E (mg),2.13
Vitamin K (�g),5
Thiamin (mg),0.03
Riboflavin (mg),0
Vitamin C (mg),163
Niacin (mg),0.81
Niacinequivalents (mg),0.9
Vitamin B-6 (mg),0.22
Vitamin B-12 (�g),0
Folate (�g),41.2
Phosphorus (mg),16.1
Iodide (�g),0
Iron (mg),0.3
Calcium (mg),7.4
Potassium (mg),123
Magnesium (mg),8
Sodium (mg),0
Salt (g),0
Selenium (�g),0
Zinc (mg),0.13
Waste (e.g. peel) (%),15
