label,count
Carbohydrate (g),11.7
Fat (g),0.4
Protein (g),0.4
Fibre (g),1.2
Water (g),86
Monosaccharides (g),3.7
Disaccharides (g),7.5
Sucrose (g),7.5
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Sum of monounsaturated fatty acids (g),0.04
Sum of polyunsaturated fatty acids (g),0.13
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),0
Vitamin C (mg),15
Vitamin B-6 (mg),0.09
Vitamin B-12 (�g),0
Phosphorus (mg),7
Iodide (�g),1
Iron (mg),0.2
Potassium (mg),113
Magnesium (mg),14
Sodium (mg),1
Salt (g),0
Selenium (�g),0.6
Zinc (mg),0.1
