label,count
CO2 footprint,0.01
Carbohydrate (g),22.52
Fat (g),6.04
Protein (g),3.96
Fibre (g),2.45
Water (g),63.16
Alcohol (g),0
Ash (g),1.84
Monosaccharides (g),0.45
Disaccharides (g),0.37
Sucrose (g),0.27
Wholegrain total (g),1
Sugar total (g),0
Sum of saturated fatty acids (g),0.82
Fatty acids 4:0-10:0 (g),0.01
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.02
Fatty acid 16:0 (g),0.55
Fatty acid 18:0 (g),0.19
Fatty acid 20:0 (g),0.03
Sum of monounsaturated fatty acids (g),3.16
Fatty acid 16:1 (g),0.04
Fatty acid 18:1 (g),3.04
Sum of polyunsaturated fatty acids (g),1.44
Fatty acids 18:2 (g),1.04
Fatty acid 18:3 (g),0.36
Fatty acid 20:4 (g),0.02
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0.01
Cholesterol (mg),41.7
Retinol (�g),41.2
Retinolequivalents (�g),42.4
Beta-carotene (�g),14
Vitamin D (�g),0.33
Vitamin E (mg),1.97
Vitamin K (�g),0
Thiamin (mg),0.07
Riboflavin (mg),0.07
Vitamin C (mg),10.4
Niacin (mg),2
Niacinequivalents (mg),2.77
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),0.17
Folate (�g),24.3
Phosphorus (mg),78.6
Iodide (�g),0
Iron (mg),0.68
Calcium (mg),14.2
Potassium (mg),359.4
Magnesium (mg),24.6
Sodium (mg),394.4
Salt (g),0.99
Selenium (�g),2.88
Zinc (mg),0.45
Waste (e.g. peel) (%),0
