label,count
CO2 footprint,0.01
Carbohydrate (g),25.5
Fat (g),8
Protein (g),3
Fibre (g),1.5
Water (g),60.4
Alcohol (g),0
Ash (g),1.6
Monosaccharides (g),0.4
Disaccharides (g),0.4
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.4
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0.01
Fatty acid 14:0 (g),0.04
Fatty acid 16:0 (g),0.88
Fatty acid 18:0 (g),0.44
Fatty acid 20:0 (g),0.05
Sum of monounsaturated fatty acids (g),5.18
Fatty acid 16:1 (g),0.02
Fatty acid 18:1 (g),4.98
Sum of polyunsaturated fatty acids (g),1.07
Fatty acids 18:2 (g),0.53
Fatty acid 18:3 (g),0.03
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),44
Retinol (�g),1
Retinolequivalents (�g),1
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),0
Thiamin (mg),0.15
Riboflavin (mg),0.1
Vitamin C (mg),5
Niacin (mg),1.7
Niacinequivalents (mg),2.2
Vitamin B-6 (mg),0.19
Vitamin B-12 (�g),0
Folate (�g),7
Phosphorus (mg),91
Iodide (�g),0
Iron (mg),0.9
Calcium (mg),49
Potassium (mg),250
Magnesium (mg),18
Sodium (mg),300
Salt (g),0.75
Selenium (�g),0.1
Zinc (mg),0.3
Waste (e.g. peel) (%),0
