label,count
CO2 footprint,0.08
Carbohydrate (g),16.4
Fat (g),0.1
Protein (g),1.74
Fibre (g),2.09
Water (g),78.81
Alcohol (g),0
Ash (g),0.91
Monosaccharides (g),0.52
Disaccharides (g),0.32
Sucrose (g),0.32
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0
Fatty acids 18:2 (g),0
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0.6
Beta-carotene (�g),8
Vitamin D (�g),0
Vitamin E (mg),0.07
Vitamin K (�g),1.2
Thiamin (mg),0.06
Riboflavin (mg),0.03
Vitamin C (mg),23.6
Niacin (mg),2.01
Niacinequivalents (mg),2.3
Vitamin B-6 (mg),0.21
Vitamin B-12 (�g),0
Folate (�g),19.1
Phosphorus (mg),43.1
Iodide (�g),0.2
Iron (mg),0.4
Calcium (mg),4.4
Potassium (mg),378.5
Magnesium (mg),21.8
Sodium (mg),3.1
Salt (g),0.01
Selenium (�g),0.05
Zinc (mg),0.22
Waste (e.g. peel) (%),0
