label,count
CO2 footprint,3.7
Carbohydrate (g),5
Fat (g),2.1
Protein (g),13.7
Fibre (g),4.8
Water (g),73
Alcohol (g),0
Ash (g),1.4
Monosaccharides (g),0.8
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.6
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.01
Fatty acid 16:0 (g),0.39
Fatty acid 18:0 (g),0.15
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.7
Fatty acid 16:1 (g),0.02
Fatty acid 18:1 (g),0.41
Sum of polyunsaturated fatty acids (g),1.9
Fatty acids 18:2 (g),0.99
Fatty acid 18:3 (g),0.37
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),1.2
Riboflavin (mg),0.3
Vitamin C (mg),0
Niacin (mg),0.4
Niacinequivalents (mg),2.68
Vitamin B-6 (mg),0.08
Vitamin B-12 (�g),0.3
Folate (�g),21
Phosphorus (mg),190
Iodide (�g),0
Iron (mg),0.5
Calcium (mg),28.8
Potassium (mg),128
Magnesium (mg),36.5
Sodium (mg),330
Salt (g),0.83
Selenium (�g),0
Zinc (mg),8
Waste (e.g. peel) (%),0
