label,count
CO2 footprint,0.23
Carbohydrate (g),2.2
Fat (g),0.1
Protein (g),0.6
Fibre (g),1.6
Water (g),95
Alcohol (g),0
Ash (g),0.5
Monosaccharides (g),1.6
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.02
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.04
Fatty acids 18:2 (g),0.01
Fatty acid 18:3 (g),0.03
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),1.2
Beta-carotene (�g),15
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),0
Thiamin (mg),0.02
Riboflavin (mg),0.04
Vitamin C (mg),33
Niacin (mg),0.2
Niacinequivalents (mg),0.3
Vitamin B-6 (mg),0.06
Vitamin B-12 (�g),0
Folate (�g),27
Phosphorus (mg),36
Iodide (�g),1
Iron (mg),0.8
Calcium (mg),41
Potassium (mg),280
Magnesium (mg),10
Sodium (mg),21
Salt (g),0.05
Selenium (�g),0.1
Zinc (mg),0.5
Waste (e.g. peel) (%),5
