label,count
Carbohydrate (g),4.7
Fat (g),0.3
Protein (g),1.13
Fibre (g),2.64
Water (g),90.5
Monosaccharides (g),4.3
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.06
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.17
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),18
Vitamin C (mg),58.9
Vitamin B-6 (mg),0.17
Vitamin B-12 (�g),0
Phosphorus (mg),25
Iodide (�g),1.4
Iron (mg),0.28
Potassium (mg),260
Magnesium (mg),11
Sodium (mg),8
Salt (g),0.02
Selenium (�g),0
Zinc (mg),0.16
