label,count
CO2 footprint,0.7
Carbohydrate (g),0
Fat (g),0.5
Protein (g),2.13
Fibre (g),1.5
Water (g),94.4
Alcohol (g),0
Ash (g),1.49
Monosaccharides (g),0.2
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.06
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.05
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.03
Fatty acid 16:1 (g),0.01
Fatty acid 18:1 (g),0.02
Sum of polyunsaturated fatty acids (g),0.31
Fatty acids 18:2 (g),0.05
Fatty acid 18:3 (g),0.22
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),175.3
Beta-carotene (�g),2060.00
Vitamin D (�g),0
Vitamin E (mg),0.93
Vitamin K (�g),255
Thiamin (mg),0.04
Riboflavin (mg),0.09
Vitamin C (mg),8.5
Niacin (mg),0.4
Niacinequivalents (mg),0.8
Vitamin B-6 (mg),0.13
Vitamin B-12 (�g),0
Folate (�g),123
Phosphorus (mg),26
Iodide (�g),2
Iron (mg),1.37
Calcium (mg),95
Potassium (mg),260
Magnesium (mg),34
Sodium (mg),200
Salt (g),0.5
Selenium (�g),0
Zinc (mg),0.37
Waste (e.g. peel) (%),0
