label,count
CO2 footprint,0.9
Carbohydrate (g),11.9
Fat (g),0.5
Protein (g),6.88
Fibre (g),4.1
Water (g),75.7
Alcohol (g),0
Ash (g),0.9
Monosaccharides (g),0.01
Disaccharides (g),0.21
Sucrose (g),0.16
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.07
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.05
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.1
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.1
Sum of polyunsaturated fatty acids (g),0.22
Fatty acids 18:2 (g),0.18
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0.8
Beta-carotene (�g),10
Vitamin D (�g),0
Vitamin E (mg),0.34
Vitamin K (�g),14.9
Thiamin (mg),0.04
Riboflavin (mg),0.03
Vitamin C (mg),0
Niacin (mg),0.35
Niacinequivalents (mg),1.5
Vitamin B-6 (mg),0.09
Vitamin B-12 (�g),0
Folate (�g),21.3
Phosphorus (mg),71.2
Iodide (�g),2.3
Iron (mg),1.59
Calcium (mg),24.8
Potassium (mg),119
Magnesium (mg),17.6
Sodium (mg),230.2
Salt (g),0.58
Selenium (�g),20.5
Zinc (mg),0.4
Waste (e.g. peel) (%),0
