label,count
Carbohydrate (g),9
Fat (g),0.1
Protein (g),1.19
Fibre (g),1.98
Water (g),87.2
Monosaccharides (g),2.9
Disaccharides (g),1.6
Sucrose (g),1.6
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.04
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.05
Vitamin K (�g),0
Vitamin C (mg),9.2
Vitamin B-6 (mg),0.17
Vitamin B-12 (�g),0
Phosphorus (mg),34
Iodide (�g),0.9
Iron (mg),0.2
Potassium (mg),200
Magnesium (mg),11
Sodium (mg),3
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.15
