label,count
CO2 footprint,3.1
Carbohydrate (g),76.9
Fat (g),0.7
Protein (g),7.8
Fibre (g),1
Water (g),13
Alcohol (g),0
Ash (g),0.64
Monosaccharides (g),0.07
Disaccharides (g),0
Sucrose (g),0.04
Wholegrain total (g),0
Sugar total (g),0.1
Sum of saturated fatty acids (g),0.12
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.1
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.23
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.22
Sum of polyunsaturated fatty acids (g),0.24
Fatty acids 18:2 (g),0.23
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),0.04
Riboflavin (mg),0.05
Vitamin C (mg),0
Niacin (mg),0.5
Niacinequivalents (mg),1.8
Vitamin B-6 (mg),0.56
Vitamin B-12 (�g),0
Folate (�g),9
Phosphorus (mg),132
Iodide (�g),0
Iron (mg),0
Calcium (mg),0
Potassium (mg),52
Magnesium (mg),9
Sodium (mg),0
Salt (g),0
Selenium (�g),0
Zinc (mg),1.3
Waste (e.g. peel) (%),0
