label,count
CO2 footprint,3.1
Carbohydrate (g),80.2
Fat (g),0.8
Protein (g),6.4
Fibre (g),1.1
Water (g),11
Alcohol (g),0
Ash (g),0.49
Monosaccharides (g),0
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0.2
Sum of saturated fatty acids (g),0.14
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.12
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.26
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.25
Sum of polyunsaturated fatty acids (g),0.27
Fatty acids 18:2 (g),0.26
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),0.2
Riboflavin (mg),0.05
Vitamin C (mg),0
Niacin (mg),1.3
Niacinequivalents (mg),2.4
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),0
Folate (�g),9
Phosphorus (mg),96
Iodide (�g),0
Iron (mg),0.2
Calcium (mg),0
Potassium (mg),96
Magnesium (mg),28
Sodium (mg),1
Salt (g),0
Selenium (�g),0
Zinc (mg),1.1
Waste (e.g. peel) (%),0
