label,count
CO2 footprint,2.17
Carbohydrate (g),78.5
Fat (g),0.7
Protein (g),8.5
Fibre (g),2.6
Water (g),9
Alcohol (g),0
Ash (g),0.7
Monosaccharides (g),0.07
Disaccharides (g),0.5
Sucrose (g),0.5
Wholegrain total (g),0
Sugar total (g),0.6
Sum of saturated fatty acids (g),0.12
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.1
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.23
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.22
Sum of polyunsaturated fatty acids (g),0.24
Fatty acids 18:2 (g),0.23
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),0.25
Riboflavin (mg),0.02
Vitamin C (mg),0
Niacin (mg),4
Niacinequivalents (mg),5.4
Vitamin B-6 (mg),0.44
Vitamin B-12 (�g),0
Folate (�g),8
Phosphorus (mg),165
Iodide (�g),0
Iron (mg),0.4
Calcium (mg),73
Potassium (mg),158
Magnesium (mg),30
Sodium (mg),2
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.7
Waste (e.g. peel) (%),0
