label,count
CO2 footprint,0.7
Carbohydrate (g),0.9
Fat (g),0.2
Protein (g),1.88
Fibre (g),1.77
Water (g),94.5
Alcohol (g),0
Ash (g),0.73
Monosaccharides (g),1.2
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0.11
Fatty acids 18:2 (g),0
Fatty acid 18:3 (g),0.08
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),90.8
Beta-carotene (�g),1090.00
Vitamin D (�g),0
Vitamin E (mg),0.27
Vitamin K (�g),129
Thiamin (mg),0.03
Riboflavin (mg),0.06
Vitamin C (mg),6
Niacin (mg),0.45
Niacinequivalents (mg),0.8
Vitamin B-6 (mg),0.08
Vitamin B-12 (�g),0
Folate (�g),88.8
Phosphorus (mg),28
Iodide (�g),1
Iron (mg),0.54
Calcium (mg),46
Potassium (mg),300
Magnesium (mg),17
Sodium (mg),7
Salt (g),0.02
Selenium (�g),0
Zinc (mg),0.31
Waste (e.g. peel) (%),0
