label,count
CO2 footprint,0.23
Carbohydrate (g),2.68
Fat (g),0.14
Protein (g),1.31
Fibre (g),1.62
Water (g),93.7
Alcohol (g),0
Ash (g),0.55
Monosaccharides (g),2.4
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.03
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.02
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.02
Sum of polyunsaturated fatty acids (g),0.06
Fatty acids 18:2 (g),0.01
Fatty acid 18:3 (g),0.05
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),1.2
Beta-carotene (�g),15
Vitamin D (�g),0
Vitamin E (mg),0.34
Vitamin K (�g),0
Thiamin (mg),0.05
Riboflavin (mg),0.05
Vitamin C (mg),39
Niacin (mg),0.78
Niacinequivalents (mg),0.99
Vitamin B-6 (mg),0.15
Vitamin B-12 (�g),0
Folate (�g),150
Phosphorus (mg),38
Iodide (�g),0.3
Iron (mg),0.34
Calcium (mg),25.6
Potassium (mg),204
Magnesium (mg),15
Sodium (mg),9
Salt (g),0.02
Selenium (�g),0.2
Zinc (mg),0.3
Waste (e.g. peel) (%),7
