label,count
CO2 footprint,6.45
Carbohydrate (g),0
Fat (g),12
Protein (g),18.4
Fibre (g),0
Water (g),68
Alcohol (g),0
Ash (g),1.6
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.55
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.35
Fatty acid 16:0 (g),1.72
Fatty acid 18:0 (g),0.36
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),4.97
Fatty acid 16:1 (g),1
Fatty acid 18:1 (g),3.63
Sum of polyunsaturated fatty acids (g),3.28
Fatty acids 18:2 (g),0.41
Fatty acid 18:3 (g),0.18
Fatty acid 20:4 (g),0.11
EPA (Fatty acid 20:5) (g),0.49
DPA (Fatty acid 22:5) (g),0.25
DHA (Fatty acid 22:6) (g),1.33
Cholesterol (mg),70
Retinol (�g),30
Retinolequivalents (�g),30
Beta-carotene (�g),0
Vitamin D (�g),12.5
Vitamin E (mg),1.3
Vitamin K (�g),0
Thiamin (mg),0.23
Riboflavin (mg),0.1
Vitamin C (mg),0
Niacin (mg),6
Niacinequivalents (mg),9.37
Vitamin B-6 (mg),0.98
Vitamin B-12 (�g),6.2
Folate (�g),26
Phosphorus (mg),200
Iodide (�g),40
Iron (mg),0.8
Calcium (mg),20
Potassium (mg),330
Magnesium (mg),24
Sodium (mg),57
Salt (g),0.14
Selenium (�g),26
Zinc (mg),0.4
Waste (e.g. peel) (%),35
