label,count
Carbohydrate (g),3.6
Fat (g),0.1
Protein (g),2
Fibre (g),2.5
Water (g),91
Monosaccharides (g),3.1
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.01
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.05
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.6
Vitamin K (µg),0
Vitamin C (mg),31
Vitamin B-6 (mg),0.19
Vitamin B-12 (µg),0
Phosphorus (mg),42
Iodide (µg),0
Iron (mg),0.4
Potassium (mg),230
Magnesium (mg),28
Sodium (mg),28
Salt (g),0.07
Selenium (µg),3.8
Zinc (mg),0.5
