label,count
Carbohydrate (g),15.38
Fat (g),9.01
Protein (g),7.29
Fibre (g),3.42
Water (g),61.97
Monosaccharides (g),1.07
Disaccharides (g),0.65
Sucrose (g),0.63
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.17
Sum of monounsaturated fatty acids (g),4.16
Sum of polyunsaturated fatty acids (g),3.05
Cholesterol (mg),38.48
Vitamin D (�g),0.36
Vitamin E (mg),2.14
Vitamin K (�g),0
Vitamin C (mg),4.9
Vitamin B-6 (mg),0.21
Vitamin B-12 (�g),0.16
Phosphorus (mg),124.3
Iodide (�g),0
Iron (mg),1.61
Potassium (mg),415.9
Magnesium (mg),50.9
Sodium (mg),695.6
Salt (g),1.74
Selenium (�g),3.01
Zinc (mg),0.8
