label,count
Carbohydrate (g),0.8
Fat (g),15.97
Protein (g),16.4
Fibre (g),7.7
Water (g),56.52
Monosaccharides (g),0.88
Disaccharides (g),0.76
Sucrose (g),0.05
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.55
Sum of monounsaturated fatty acids (g),3.46
Sum of polyunsaturated fatty acids (g),7.75
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),8.74
Vitamin K (µg),5.1
Vitamin C (mg),20.3
Vitamin B-6 (mg),0.08
Vitamin B-12 (µg),0
Phosphorus (mg),87.6
Iodide (µg),3
Iron (mg),1.22
Potassium (mg),207
Magnesium (mg),28
Sodium (mg),692
Salt (g),1.73
Selenium (µg),14.4
Zinc (mg),0.71
