label,count
Carbohydrate (g),0.7
Fat (g),0.5
Protein (g),1.9
Fibre (g),1.3
Water (g),94
Monosaccharides (g),0.2
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.06
Sum of monounsaturated fatty acids (g),0.03
Sum of polyunsaturated fatty acids (g),0.29
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),2.9
Vitamin K (�g),0
Vitamin C (mg),46
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),0
Phosphorus (mg),30
Iodide (�g),1
Iron (mg),2
Potassium (mg),560
Magnesium (mg),79
Sodium (mg),6
Salt (g),0.02
Selenium (�g),0.5
Zinc (mg),0.9
