label,count
Carbohydrate (g),2.5
Fat (g),0.1
Protein (g),0
Fibre (g),1.8
Water (g),95
Monosaccharides (g),2.9
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.55
Vitamin K (�g),26.6
Vitamin C (mg),23.9
Vitamin B-6 (mg),0.09
Vitamin B-12 (�g),0
Phosphorus (mg),28.1
Iodide (�g),0
Iron (mg),0.28
Potassium (mg),148
Magnesium (mg),17.1
Sodium (mg),0
Salt (g),0
Selenium (�g),0
Zinc (mg),0.41
