label,count
Carbohydrate (g),5.7
Fat (g),1.3
Protein (g),1.43
Fibre (g),4.3
Water (g),86
Monosaccharides (g),2.08
Disaccharides (g),2.3
Sucrose (g),2.3
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.14
Sum of monounsaturated fatty acids (g),0.67
Sum of polyunsaturated fatty acids (g),0.43
Cholesterol (mg),2
Vitamin D (�g),0
Vitamin E (mg),1.3
Vitamin K (�g),20.6
Vitamin C (mg),9.7
Vitamin B-6 (mg),0.15
Vitamin B-12 (�g),0.06
Phosphorus (mg),37
Iodide (�g),2
Iron (mg),0.64
Potassium (mg),226
Magnesium (mg),16
Sodium (mg),220
Salt (g),0.55
Selenium (�g),5
Zinc (mg),0.35
