label,count
CO2 footprint,0.43
Carbohydrate (g),8.29
Fat (g),0.21
Protein (g),0.49
Fibre (g),1.9
Water (g),88.73
Alcohol (g),0
Ash (g),0.37
Monosaccharides (g),7.3
Disaccharides (g),0.6
Sucrose (g),0.6
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.04
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.02
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.02
Sum of polyunsaturated fatty acids (g),0.11
Fatty acids 18:2 (g),0.07
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0.8
Beta-carotene (�g),10
Vitamin D (�g),0
Vitamin E (mg),0.55
Vitamin K (�g),5
Thiamin (mg),0.01
Riboflavin (mg),0.02
Vitamin C (mg),60.8
Niacin (mg),0.44
Niacinequivalents (mg),0.5
Vitamin B-6 (mg),0.07
Vitamin B-12 (�g),0
Folate (�g),85.7
Phosphorus (mg),20
Iodide (�g),0.6
Iron (mg),0.34
Calcium (mg),18.1
Potassium (mg),129.5
Magnesium (mg),11
Sodium (mg),1
Salt (g),0
Selenium (�g),0
Zinc (mg),0.2
Waste (e.g. peel) (%),3
