label,count
CO2 footprint,0.24
Carbohydrate (g),6.1
Fat (g),0.06
Protein (g),1.37
Fibre (g),3
Water (g),88.8
Alcohol (g),0
Ash (g),0.62
Monosaccharides (g),6.4
Disaccharides (g),0.4
Sucrose (g),0.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.01
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.01
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.03
Fatty acids 18:2 (g),0.01
Fatty acid 18:3 (g),0.02
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),1.2
Beta-carotene (�g),14
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),3.7
Thiamin (mg),0.05
Riboflavin (mg),0.03
Vitamin C (mg),57.1
Niacin (mg),1.48
Niacinequivalents (mg),1.7
Vitamin B-6 (mg),0.22
Vitamin B-12 (�g),0
Folate (�g),50.8
Phosphorus (mg),30.4
Iodide (�g),0
Iron (mg),0.23
Calcium (mg),41.8
Potassium (mg),166
Magnesium (mg),9.1
Sodium (mg),7.7
Salt (g),0.02
Selenium (�g),0
Zinc (mg),0.15
Waste (e.g. peel) (%),13
