label,count
Carbohydrate (g),3.2
Fat (g),5.3
Protein (g),22
Fibre (g),0
Water (g),68
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.83
Sum of monounsaturated fatty acids (g),1.03
Sum of polyunsaturated fatty acids (g),1.01
Cholesterol (mg),300
Vitamin D (µg),0.5
Vitamin E (mg),0.46
Vitamin K (µg),0
Vitamin C (mg),33
Vitamin B-6 (mg),0.42
Vitamin B-12 (µg),84
Phosphorus (mg),435
Iodide (µg),7
Iron (mg),4.9
Potassium (mg),290
Magnesium (mg),19
Sodium (mg),76
Salt (g),0.19
Selenium (µg),9
Zinc (mg),4.7
