label,count
CO2 footprint,2
Carbohydrate (g),0
Fat (g),4.2
Protein (g),7.8
Fibre (g),2.5
Water (g),84.7
Alcohol (g),0
Ash (g),0.8
Monosaccharides (g),0.4
Disaccharides (g),0.8
Sucrose (g),0.8
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.58
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.01
Fatty acid 16:0 (g),0.39
Fatty acid 18:0 (g),0.16
Fatty acid 20:0 (g),0.01
Sum of monounsaturated fatty acids (g),1
Fatty acid 16:1 (g),0.01
Fatty acid 18:1 (g),0.99
Sum of polyunsaturated fatty acids (g),2.35
Fatty acids 18:2 (g),2.05
Fatty acid 18:3 (g),0.29
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),1
Vitamin K (�g),0
Thiamin (mg),0.06
Riboflavin (mg),0.03
Vitamin C (mg),0
Niacin (mg),0.1
Niacinequivalents (mg),1.4
Vitamin B-6 (mg),0.5
Vitamin B-12 (�g),0
Folate (�g),130
Phosphorus (mg),126
Iodide (�g),0
Iron (mg),1.9
Calcium (mg),128
Potassium (mg),42
Magnesium (mg),111
Sodium (mg),7
Salt (g),0.02
Selenium (�g),1
Zinc (mg),1.6
Waste (e.g. peel) (%),0
