label,count
Carbohydrate (g),13.7
Fat (g),0.9
Protein (g),3.8
Fibre (g),5.2
Water (g),74
Monosaccharides (g),10
Disaccharides (g),0.8
Sucrose (g),0.8
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.17
Sum of monounsaturated fatty acids (g),0.1
Sum of polyunsaturated fatty acids (g),0.45
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),2.3
Vitamin K (�g),0
Vitamin C (mg),42
Vitamin B-6 (mg),0.38
Vitamin B-12 (�g),0
Phosphorus (mg),79
Iodide (�g),0
Iron (mg),3
Potassium (mg),930
Magnesium (mg),51
Sodium (mg),65
Salt (g),0.16
Selenium (�g),0.4
Zinc (mg),0.8
