label,count
CO2 footprint,0.82
Carbohydrate (g),7.7
Fat (g),0.1
Protein (g),1.7
Fibre (g),2.6
Water (g),87
Alcohol (g),0
Ash (g),0.9
Monosaccharides (g),4.5
Disaccharides (g),0.4
Sucrose (g),0.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.02
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.05
Fatty acids 18:2 (g),0.04
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),2.3
Vitamin K (�g),0
Thiamin (mg),0.07
Riboflavin (mg),0.05
Vitamin C (mg),35
Niacin (mg),1.7
Niacinequivalents (mg),1.98
Vitamin B-6 (mg),0.15
Vitamin B-12 (�g),0
Folate (�g),7.5
Phosphorus (mg),40
Iodide (�g),0
Iron (mg),0.9
Calcium (mg),15
Potassium (mg),420
Magnesium (mg),24
Sodium (mg),20
Salt (g),0.05
Selenium (�g),0.4
Zinc (mg),0.2
Waste (e.g. peel) (%),0
