label,count
Carbohydrate (g),2.6
Fat (g),0.13
Protein (g),0.81
Fibre (g),1.3
Water (g),94.7
Monosaccharides (g),2.85
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.06
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.74
Vitamin K (�g),3.4
Vitamin C (mg),14.8
Vitamin B-6 (mg),0.1
Vitamin B-12 (�g),0
Phosphorus (mg),22.5
Iodide (�g),0.2
Iron (mg),0.19
Potassium (mg),240
Magnesium (mg),9
Sodium (mg),2
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.09
