label,count
CO2 footprint,6.1
Carbohydrate (g),0
Fat (g),4.9
Protein (g),23.3
Fibre (g),0
Water (g),70.62
Alcohol (g),0
Ash (g),1.18
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.26
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.14
Fatty acid 16:0 (g),0.81
Fatty acid 18:0 (g),0.31
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),1.6
Fatty acid 16:1 (g),0.16
Fatty acid 18:1 (g),0.92
Sum of polyunsaturated fatty acids (g),1.43
Fatty acids 18:2 (g),0.05
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0.04
EPA (Fatty acid 20:5) (g),0.28
DPA (Fatty acid 22:5) (g),0.12
DHA (Fatty acid 22:6) (g),0.89
Cholesterol (mg),38
Retinol (�g),655
Retinolequivalents (�g),655
Beta-carotene (�g),0
Vitamin D (�g),4.5
Vitamin E (mg),1
Vitamin K (�g),0
Thiamin (mg),0.24
Riboflavin (mg),0.25
Vitamin C (mg),0
Niacin (mg),8.65
Niacinequivalents (mg),12.92
Vitamin B-6 (mg),0.46
Vitamin B-12 (�g),9.43
Folate (�g),1.9
Phosphorus (mg),254
Iodide (�g),0
Iron (mg),1.02
Calcium (mg),8
Potassium (mg),252
Magnesium (mg),50
Sodium (mg),39
Salt (g),0.1
Selenium (�g),36.5
Zinc (mg),0.6
Waste (e.g. peel) (%),40
