label,count
CO2 footprint,7.31
Carbohydrate (g),0
Fat (g),0.9
Protein (g),24.13
Fibre (g),0
Water (g),74
Alcohol (g),0
Ash (g),1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.3
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.01
Fatty acid 16:0 (g),0.2
Fatty acid 18:0 (g),0.08
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.29
Fatty acid 16:1 (g),0.03
Fatty acid 18:1 (g),0.25
Sum of polyunsaturated fatty acids (g),0.23
Fatty acids 18:2 (g),0.17
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0.03
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0.01
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),51
Retinol (�g),8.1
Retinolequivalents (�g),8.1
Beta-carotene (�g),0
Vitamin D (�g),0.25
Vitamin E (mg),0.16
Vitamin K (�g),41
Thiamin (mg),0.12
Riboflavin (mg),0.13
Vitamin C (mg),0
Niacin (mg),8.85
Niacinequivalents (mg),13.3
Vitamin B-6 (mg),0.71
Vitamin B-12 (�g),1.13
Folate (�g),7.7
Phosphorus (mg),220
Iodide (�g),2.2
Iron (mg),0.38
Calcium (mg),4.5
Potassium (mg),320
Magnesium (mg),29
Sodium (mg),97
Salt (g),0.24
Selenium (�g),13.79
Zinc (mg),1.14
Waste (e.g. peel) (%),0
