label,count
Carbohydrate (g),0
Fat (g),4.6
Protein (g),21
Fibre (g),0
Water (g),73.5
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.5
Sum of monounsaturated fatty acids (g),1.17
Sum of polyunsaturated fatty acids (g),1.38
Cholesterol (mg),81
Vitamin D (�g),1.4
Vitamin E (mg),0.5
Vitamin K (�g),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.43
Vitamin B-12 (�g),0.4
Phosphorus (mg),190
Iodide (�g),0
Iron (mg),1.1
Potassium (mg),285
Magnesium (mg),22
Sodium (mg),55
Salt (g),0.14
Selenium (�g),5
Zinc (mg),2
