label,count
CO2 footprint,0.72
Carbohydrate (g),5.5
Fat (g),6.81
Protein (g),17.65
Fibre (g),7.4
Water (g),59.72
Alcohol (g),0
Ash (g),2.94
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0.05
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.73
Fatty acids 4:0-10:0 (g),0.02
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.42
Fatty acid 18:0 (g),0.22
Fatty acid 20:0 (g),0.02
Sum of monounsaturated fatty acids (g),1.38
Fatty acid 16:1 (g),0.01
Fatty acid 18:1 (g),1.35
Sum of polyunsaturated fatty acids (g),3.32
Fatty acids 18:2 (g),3.26
Fatty acid 18:3 (g),0.07
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),3.18
Vitamin K (�g),2.4
Thiamin (mg),0.51
Riboflavin (mg),0.27
Vitamin C (mg),0
Niacin (mg),1.79
Niacinequivalents (mg),4.7
Vitamin B-6 (mg),0.35
Vitamin B-12 (�g),0
Folate (�g),138
Phosphorus (mg),291
Iodide (�g),2
Iron (mg),3.56
Calcium (mg),103
Potassium (mg),244
Magnesium (mg),125
Sodium (mg),271
Salt (g),0.68
Selenium (�g),6.6
Zinc (mg),1.94
Waste (e.g. peel) (%),0
