label,count
CO2 footprint,3.1
Carbohydrate (g),68.7
Fat (g),1.08
Protein (g),14.73
Fibre (g),6.2
Water (g),7.76
Alcohol (g),0
Ash (g),1.53
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),100
Sugar total (g),0
Sum of saturated fatty acids (g),0.16
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.14
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.16
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.16
Sum of polyunsaturated fatty acids (g),0.68
Fatty acids 18:2 (g),0.38
Fatty acid 18:3 (g),0.3
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),0.12
Riboflavin (mg),0.26
Vitamin C (mg),0
Niacin (mg),6.73
Niacinequivalents (mg),9.19
Vitamin B-6 (mg),0.39
Vitamin B-12 (�g),0
Folate (�g),95
Phosphorus (mg),433
Iodide (�g),0
Iron (mg),1.96
Calcium (mg),21
Potassium (mg),427
Magnesium (mg),177
Sodium (mg),7
Salt (g),0.02
Selenium (�g),2.8
Zinc (mg),5.96
Waste (e.g. peel) (%),0
