label,count
Carbohydrate (g),1.1
Fat (g),0.1
Protein (g),1
Fibre (g),2.2
Water (g),95
Monosaccharides (g),0.2
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0.04
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),0
Vitamin C (mg),4
Vitamin B-6 (mg),0.05
Vitamin B-12 (�g),0
Phosphorus (mg),21
Iodide (�g),0.4
Iron (mg),0.5
Potassium (mg),187
Magnesium (mg),7
Sodium (mg),2
Salt (g),0.01
Selenium (�g),1
Zinc (mg),0.2
