label,count
Carbohydrate (g),7.3
Fat (g),0.1
Protein (g),1.19
Fibre (g),1.88
Water (g),89.1
Monosaccharides (g),3
Disaccharides (g),1.5
Sucrose (g),1.5
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.04
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.05
Vitamin K (µg),0.5
Vitamin C (mg),7.8
Vitamin B-6 (mg),0.16
Vitamin B-12 (µg),0
Phosphorus (mg),33
Iodide (µg),0.9
Iron (mg),0.21
Potassium (mg),190
Magnesium (mg),11
Sodium (mg),3
Salt (g),0.01
Selenium (µg),0
Zinc (mg),0.11
