label,count
CO2 footprint,0.32
Carbohydrate (g),49.2
Fat (g),1
Protein (g),21.5
Fibre (g),10.7
Water (g),15
Alcohol (g),0
Ash (g),2.6
Monosaccharides (g),0.3
Disaccharides (g),1.8
Sucrose (g),1.8
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.19
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.17
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.07
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.07
Sum of polyunsaturated fatty acids (g),0.54
Fatty acids 18:2 (g),0.45
Fatty acid 18:3 (g),0.09
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),1.2
Beta-carotene (�g),15
Vitamin D (�g),0
Vitamin E (mg),0.09
Vitamin K (�g),0
Thiamin (mg),0.82
Riboflavin (mg),0.18
Vitamin C (mg),1
Niacin (mg),2.5
Niacinequivalents (mg),6.08
Vitamin B-6 (mg),0.08
Vitamin B-12 (�g),0
Folate (�g),33
Phosphorus (mg),380
Iodide (�g),45
Iron (mg),6
Calcium (mg),59
Potassium (mg),1100.00
Magnesium (mg),120
Sodium (mg),2
Salt (g),0.01
Selenium (�g),2
Zinc (mg),3.8
Waste (e.g. peel) (%),0
