Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (µg),Retinolequivalents (µg),Beta-carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (µg),Folate (µg),Phosphorus (mg),Iodide (µg),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (µg),Zinc (mg),Waste (e.g. peel) (%)
Almond milk,1.6,dairy,26.1,109.2,3.5,1.3,0,0.2,94.5,0,0.55,0,3.1,3.1,0,,0.12,0,0,0.01,0.08,0.02,0,0.81,0,0.8,0.26,0.25,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.1,0,0,0.4,67,,0.05,133,16.5,6.4,49.4,0.12,0,0.04,
Apple,0.18,fruits and berries,47.9,200.3,10.58,0.05,0,2.32,86.88,0,0.23,6.54,3.38,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0.32,2.7,0.01,0,4.8,0.12,0.12,0.04,0,2.9,6.8,0,0.88,3,61.6,3.6,0,0,0,0.03,8
Apples (non-European),1.3,fruits and berries,47.9,200.3,10.58,0.05,0,2.32,86.88,0,0.23,6.54,3.38,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0.32,2.7,0.01,0,4.8,0.12,0.12,0.04,0,2.9,6.8,0,0.88,3,61.6,3.6,0,0,0,0.03,8
Arugula salad,0.7,vegetables,27.6,115.4,1.99,0.66,2.58,1.66,91.71,0,1.4,0.2,0.7,0.7,0,,0.09,0,0,0,0.07,0,0,0.05,0,0.05,0.32,0.13,0.17,0,0,0,0,0,0,118,1424,0,0.43,,0.04,0.09,15,0.3,0.74,0.07,0,97,52,,1.46,160,369,47,27,0.07,0.3,0.47,
Asparagus,0.23,vegetables,27,112.9,2.4,0.2,3.1,1.5,92,0,0.8,1,0.2,0.2,0,,0.05,0,0,0,0.04,0,0,0,0,0,0.11,0.1,0.01,0,0,0,0,0,0,26.7,320,0,1.98,,0.11,0.12,33,1.1,1.62,0.15,0,119,52,4,0.7,22,300,18,2,0.01,0.2,0.9,47
Aubergine,0.7,vegetables,18.9,79.1,2.2,0.1,1.13,2.35,93.7,0,0.52,2.4,0.2,0.2,0,,0.02,0,0,0,0.01,0,0,0.01,0,0.01,0.04,0.03,0.01,0,0,0,0,0,0,2.6,31,0,0.09,5.5,0.02,0,3.3,0.58,0.8,0.04,0,21.3,24,,0.21,10,210,14,2,0.01,0,0.16,19
Avocado,1.3,vegetables,197.2,825.1,1.7,19.6,1.94,4.75,70,0,2.03,0.2,0.3,0.2,0,,3.43,0,0,0,3.3,0.09,0.02,12.72,1.48,11.15,2.57,2.42,0.15,0,0,0,0,0,0,6.2,48,0,3.41,18.7,0.07,0.1,3.3,1.79,2.1,0.37,0,116,67,,0.26,14,600,32,5,0.01,0,0.4,33
Bacon,5.7,meat,348.1,1456.5,0,30.65,18.97,0,45.85,0,4.53,0,0,0,0,,12.79,0,0,0.47,7.94,4.2,0.06,13.78,0.78,12.53,2.63,2.16,0.18,0.06,0,0,0,54.2,12.7,12.7,0,0.54,0.57,,0.36,0.12,0,3.94,7.4,0.1,0.99,2.4,201,1,0.85,9.9,188.3,21.2,1 161.00,2.9,11.33,1.63,0
Banana,1.13,fruits and berries,101.1,423.1,22,0.5,1,1.7,74,0,0.8,7.1,6.4,6.4,0,,0.23,0.01,0,0,0.15,0.01,0,0.05,0.01,0.03,0.11,0.07,0.04,0,0,0,0,0,0,1.2,14,0,0.55,,0.04,0.1,9,0.5,0.67,0.58,0,19,20,0.4,0.4,6,395,33,1,0,0.5,0.2,37
Barley,0.8,grains,348.1,1456.5,70.2,1.57,10.6,3.1,14,0,0.54,0.07,1.41,0.2,0,,0.21,0,0,0,0.19,0.01,0,0.14,0,0.13,0.69,0.64,0.04,0,0,0,0,0,0,1.1,11,0,0.49,0.8,0.2,0.03,0,1.19,3,0.13,0,23.8,124.5,1,1.08,18.1,149,27.2,0.8,0,3.4,0.82,0
Basmati rice - dry,3.1,grains,358.8,1501.3,76.7,1,9.2,0.5,12,0,0.64,0,0.2,0.2,0,,0.18,0,0,0,0.15,0.01,0.01,0.33,0,0.32,0.34,0.33,0.01,0,0,0,0,0,0,0,0,0,0,,0.14,0.05,0,1.3,2.8,0.42,0,9,101,,0.4,18,76,26,0,0,14,1.5,
Beef,22.7,meat,123.6,517,0,4.1,21.69,0,73.3,0,1.1,0,0,0,0,,1.98,0,0,0.1,0.92,0.75,0.01,1.43,0.09,1.28,0.28,0.16,0.05,0.03,0.01,0.02,0,56.8,4.7,8.1,41,0,0.77,2.4,0.1,0.21,0,6.79,10.8,0.41,1.48,5,210,3.7,2.32,4.3,350,25,70,0.18,6.49,2.63,0
Broccoli (imported),1.31,vegetables,35.2,147.3,3.12,0.27,3.5,3.1,89.1,0,0.91,1.65,0.2,0.2,0,,0.04,0,0,0,0.04,0,0,0.01,0,0.01,0.09,0.03,0.06,0,0,0,0,0,0,39.2,470,0,0.36,,0.08,0.12,83,0.61,1.19,0.21,0,175,81.3,0.8,0.66,62,332,23,3.5,0.01,0.5,0.4,39
Broccoli (Swedish),0.4,vegetables,35.2,147.3,3.12,0.27,3.5,3.1,89.1,0,0.91,1.65,0.2,0.2,0,,0.04,0,0,0,0.04,0,0,0.01,0,0.01,0.09,0.03,0.06,0,0,0,0,0,0,39.2,470,0,0.36,,0.08,0.12,83,0.61,1.19,0.21,0,175,81.3,0.8,0.66,62,332,23,3.5,0.01,0.5,0.4,39
Brown bread,0.75,grains,349,1460.4,57.6,2.5,14.58,17.6,5.4,0,2.3,0.2,1.6,1,100,,0.34,0,0,0,0.3,0.01,0,0.29,0.01,0.23,1.16,1.01,0.15,0,0,0,0,0,0,0,0,0,0.74,,0.13,0.11,0,0.91,3.3,0.3,0,37.3,350,11,2.97,43,505,78,300,0.75,5.51,2.32,0
Brown cabbage,0.23,vegetables,47.5,198.9,6.99,1.01,1.37,2.44,86.22,0,1.93,6.28,1.4,1.4,0,,0.12,0,0,0,0.08,0.02,0,0.53,0,0.52,0.3,0.18,0.11,0,0,0,0,0,2.7,3.4,8,0.02,0.25,,0.03,0.01,15.6,0.34,0.56,0.1,0.01,7.6,28.4,,0.28,41.7,176.3,12.4,509.7,1.28,0.06,0.13,
Brussels sprouts,0.23,vegetables,43.6,182.4,4.7,0.3,3.4,4.2,86,0,1.4,2,0.6,0.6,0,,0.05,0,0,0,0.04,0,0.01,0.01,0,0.01,0.18,0.04,0.14,0,0,0,0,0,0,35.8,430,0,0.88,,0.14,0.09,85,0.7,1.27,0.22,0,159,69,0.3,1.4,42,390,23,7,0.02,1,0.5,23
Butter,6.5,oils,728.8,3049.3,0.5,82,0.4,0,15.91,0,0.57,0,0.5,0,0,,54.99,8.14,2.77,8.81,24.8,7.67,0.13,19.1,1.32,16.59,2.95,2.24,0.51,0.09,0,0,0,256,588,619.9,380,0.51,2.1,7.4,0,0,0,0,0.1,0,0,0,0,4,0,0,0,0,480,1.2,0,0,0
Butterhead lettuce,0.7,vegetables,14.2,59.5,1.1,0.2,1.4,1.2,95,0,1.1,0.7,0.1,0.1,0,,0.04,0,0,0,0.03,0,0,0.01,0,0,0.12,0.05,0.06,0,0,0,0,0,0,108.3,1300,0,0.3,,0.08,0.1,9,0.5,0.73,0.06,0,73,32,1,0.7,65,360,13,6,0.02,0.5,0.5,10
Cabbage,0.23,vegetables,29.5,123.4,4.7,0.1,1.13,2.58,90.8,0,0.65,5.3,0.4,0.4,0,,0.02,0,0,0,0.02,0,0,0,0,0.01,0.06,0.01,0.04,0,0,0,0,0,0,0.5,6,0,0.03,44,0.05,0,46.2,0.32,0.5,0.17,0,19.1,24,0.7,0.21,41,240,11,7,0.02,0,0.12,20
Camembert,5.6,cheese,286.3,1198,0,22.5,21.5,0,52.7,0,3.3,0,0.1,0,0,,14.58,1.92,0.72,2.36,6.45,2.5,0.04,5.8,0.34,5.07,0.58,0.43,0.13,0.02,0,0,0,72,215,223.2,99,0.16,0.5,,0.04,0.45,0,1.8,6.82,0.25,1.1,62,370,,0.2,720,187,20,605,1.51,5.5,2.4,0
Cantaloupe,1.3,fruits and berries,36.7,153.7,7.9,0.1,0.5,0.9,90,0,0.6,3,4.8,4.8,0,,0.03,0,0,0,0.02,0,0,0.01,0,0.01,0.03,0.01,0.02,0,0,0,0,0,0,2,24,0,0.1,,0.08,0.02,25,0.6,0.68,0.06,0,30,10,,0.1,6,270,7,10,0.03,0,0,54
