Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (µg),Retinolequivalents (µg),Beta-carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (µg),Folate (µg),Phosphorus (mg),Iodide (µg),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (µg),Zinc (mg),Waste (e.g. peel) (%)
Almond milk,1.6,dairy,26.10,109.20,3.50,1.30,0.00,0.20,94.50,0.00,0.55,0.00,3.10,3.10,0.00,,0.12,0.00,0.00,0.01,0.08,0.02,0.00,0.81,0.00,0.80,0.26,0.25,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.00,0.00,0.40,67.00,,0.05,133.00,16.50,6.40,49.40,0.12,0.00,0.04,
Apples,0.18,fruits and berries,47.90,200.30,10.58,0.05,0.00,2.32,86.88,0.00,0.23,6.54,3.38,3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,22.00,0.00,0.32,2.70,0.01,0.00,4.80,0.12,0.12,0.04,0.00,2.90,6.80,0.00,0.88,3.00,61.60,3.60,0.00,0.00,0.00,0.03,8.00
Apples (non-European),1.3,fruits and berries,47.90,200.30,10.58,0.05,0.00,2.32,86.88,0.00,0.23,6.54,3.38,3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,22.00,0.00,0.32,2.70,0.01,0.00,4.80,0.12,0.12,0.04,0.00,2.90,6.80,0.00,0.88,3.00,61.60,3.60,0.00,0.00,0.00,0.03,8.00
Apricot,0.97,fruits and berries,51,213.5,9.3,0.4,1.4,2.1,86,0,0.8,2.5,5.8,5.8,0,,0.03,0,0,0,0,0.17,0,0.17,0.08,0.08,0,0,0,0,0,0,0,130.8,1570,0,4,,0.03,0.04,10,0.6,0.83,0.05,0,9,19,0.5,0.5,14,295,8,1,0,0.2,0.3,7,,
Apricot jam,1.9,sweets,242.00,1,012.53,64.40,0.20,0.70,0.30,34.50,,,,,,,43.40,0.01,,,,,,,,,,,,,,,,,0.00,,,,0.00,0.13,0.00,0.00,0.02,8.80,0.04,,0.02,0.00,,3.00,,0.49,20.00,77.00,4.00,40.00,,,0.06,
Arugula salad,0.7,vegetables,27.60,115.40,1.99,0.66,2.58,1.66,91.71,0.00,1.40,0.20,0.70,0.70,0.00,,0.09,0.00,0.00,0.00,0.07,0.00,0.00,0.05,0.00,0.05,0.32,0.13,0.17,0.00,0.00,0.00,0.00,0.00,0.00,118.00,1,424.00,0.00,0.43,,0.04,0.09,15.00,0.30,0.74,0.07,0.00,97.00,52.00,,1.46,160.00,369.00,47.00,27.00,0.07,0.30,0.47,
Asparagus,0.23,vegetables,27.00,112.90,2.40,0.20,3.10,1.50,92.00,0.00,0.80,1.00,0.20,0.20,0.00,,0.05,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.11,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,26.70,320.00,0.00,1.98,,0.11,0.12,33.00,1.10,1.62,0.15,0.00,119.00,52.00,4.00,0.70,22.00,300.00,18.00,2.00,0.01,0.20,0.90,47.00
Aubergine,0.7,vegetables,18.90,79.10,2.20,0.10,1.13,2.35,93.70,0.00,0.52,2.40,0.20,0.20,0.00,,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,2.60,31.00,0.00,0.09,5.50,0.02,0.00,3.30,0.58,0.80,0.04,0.00,21.30,24.00,,0.21,10.00,210.00,14.00,2.00,0.01,0.00,0.16,19.00
Avocado,1.3,vegetables,197.20,825.10,1.70,19.60,1.94,4.75,70.00,0.00,2.03,0.20,0.30,0.20,0.00,,3.43,0.00,0.00,0.00,3.30,0.09,0.02,12.72,1.48,11.15,2.57,2.42,0.15,0.00,0.00,0.00,0.00,0.00,0.00,6.20,48.00,0.00,3.41,18.70,0.07,0.10,3.30,1.79,2.10,0.37,0.00,116.00,67.00,,0.26,14.00,600.00,32.00,5.00,0.01,0.00,0.40,33.00
Bacon,5.7,meat,348.10,1,456.50,0.00,30.65,18.97,0.00,45.85,0.00,4.53,0.00,0.00,0.00,0.00,,12.79,0.00,0.00,0.47,7.94,4.20,0.06,13.78,0.78,12.53,2.63,2.16,0.18,0.06,0.00,0.00,0.00,54.20,12.70,12.70,0.00,0.54,0.57,,0.36,0.12,0.00,3.94,7.40,0.10,0.99,2.40,201.00,1.00,0.85,9.90,188.30,21.20,1,161.00,2.90,11.33,1.63,0.00
Banana,1.13,fruits and berries,101.10,423.10,22.00,0.50,1.00,1.70,74.00,0.00,0.80,7.10,6.40,6.40,0.00,,0.23,0.01,0.00,0.00,0.15,0.01,0.00,0.05,0.01,0.03,0.11,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.20,14.00,0.00,0.55,,0.04,0.10,9.00,0.50,0.67,0.58,0.00,19.00,20.00,0.40,0.40,6.00,395.00,33.00,1.00,0.00,0.50,0.20,37.00
Barley,0.8,grains,348.10,1,456.50,70.20,1.57,10.60,3.10,14.00,0.00,0.54,0.07,1.41,0.20,0.00,,0.21,0.00,0.00,0.00,0.19,0.01,0.00,0.14,0.00,0.13,0.69,0.64,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.10,11.00,0.00,0.49,0.80,0.20,0.03,0.00,1.19,3.00,0.13,0.00,23.80,124.50,1.00,1.08,18.10,149.00,27.20,0.80,0.00,3.40,0.82,0.00
Basmati rice, dry,3.1,grains,358.80,1,501.30,76.70,1.00,9.20,0.50,12.00,0.00,0.64,0.00,0.20,0.20,0.00,,0.18,0.00,0.00,0.00,0.15,0.01,0.01,0.33,0.00,0.32,0.34,0.33,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.14,0.05,0.00,1.30,2.80,0.42,0.00,9.00,101.00,,0.40,18.00,76.00,26.00,0.00,0.00,14.00,1.50,
Beef,22.7,meat,123.60,517.00,0.00,4.10,21.69,0.00,73.30,0.00,1.10,0.00,0.00,0.00,0.00,,1.98,0.00,0.00,0.10,0.92,0.75,0.01,1.43,0.09,1.28,0.28,0.16,0.05,0.03,0.01,0.02,0.00,56.80,4.70,8.10,41.00,0.00,0.77,2.40,0.10,0.21,0.00,6.79,10.80,0.41,1.48,5.00,210.00,3.70,2.32,4.30,350.00,25.00,70.00,0.18,6.49,2.63,0.00
Blueberries,1.18,fruits and berries,52.8,221,9.1,0.8,0.7,3.1,86,0,0.3,5.9,0.5,0.5,0,,0.03,0,0,0,0,0.09,0,0.09,0.52,0.23,0.29,0,0,0,0,0,0,8.5,96,0,0.1,15,0.04,0.07,8.1,0.3,0.42,0.06,0,10.2,20,1.2,0.6,23,86,9,3,0.01,0,0.2,2,,
Broccoli (imported),1.31,vegetables,35.20,147.30,3.12,0.27,3.50,3.10,89.10,0.00,0.91,1.65,0.20,0.20,0.00,,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.01,0.09,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,39.20,470.00,0.00,0.36,,0.08,0.12,83.00,0.61,1.19,0.21,0.00,175.00,81.30,0.80,0.66,62.00,332.00,23.00,3.50,0.01,0.50,0.40,39.00
Broccoli (Swedish),0.4,vegetables,35.20,147.30,3.12,0.27,3.50,3.10,89.10,0.00,0.91,1.65,0.20,0.20,0.00,,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.01,0.09,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,39.20,470.00,0.00,0.36,,0.08,0.12,83.00,0.61,1.19,0.21,0.00,175.00,81.30,0.80,0.66,62.00,332.00,23.00,3.50,0.01,0.50,0.40,39.00
Brown bread,0.75,grains,349.00,1,460.40,57.60,2.50,14.58,17.60,5.40,0.00,2.30,0.20,1.60,1.00,100.00,,0.34,0.00,0.00,0.00,0.30,0.01,0.00,0.29,0.01,0.23,1.16,1.01,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,,0.13,0.11,0.00,0.91,3.30,0.30,0.00,37.30,350.00,11.00,2.97,43.00,505.00,78.00,300.00,0.75,5.51,2.32,0.00
Brown cabbage,0.23,vegetables,47.50,198.90,6.99,1.01,1.37,2.44,86.22,0.00,1.93,6.28,1.40,1.40,0.00,,0.12,0.00,0.00,0.00,0.08,0.02,0.00,0.53,0.00,0.52,0.30,0.18,0.11,0.00,0.00,0.00,0.00,0.00,2.70,3.40,8.00,0.02,0.25,,0.03,0.01,15.60,0.34,0.56,0.10,0.01,7.60,28.40,,0.28,41.70,176.30,12.40,509.70,1.28,0.06,0.13,
Brussels sprouts,0.23,vegetables,43.60,182.40,4.70,0.30,3.40,4.20,86.00,0.00,1.40,2.00,0.60,0.60,0.00,,0.05,0.00,0.00,0.00,0.04,0.00,0.01,0.01,0.00,0.01,0.18,0.04,0.14,0.00,0.00,0.00,0.00,0.00,0.00,35.80,430.00,0.00,0.88,,0.14,0.09,85.00,0.70,1.27,0.22,0.00,159.00,69.00,0.30,1.40,42.00,390.00,23.00,7.00,0.02,1.00,0.50,23.00
