label,count
Carbohydrate (g),78.1
Fat (g),1.28
Protein (g),6.74
Fibre (g),1.2
Water (g),11.69
Monosaccharides (g),0.62
Disaccharides (g),0.36
Sucrose (g),0.36
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.23
Sum of monounsaturated fatty acids (g),0.42
Sum of polyunsaturated fatty acids (g),0.44
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.03
Vitamin K (�g),0.3
Vitamin C (mg),0
Vitamin B-6 (mg),0.63
Vitamin B-12 (�g),0
Phosphorus (mg),188
Iodide (�g),1
Iron (mg),0.3
Potassium (mg),192
Magnesium (mg),50.4
Sodium (mg),1
Salt (g),0
Selenium (�g),2.7
Zinc (mg),1.14
