label,count
Carbohydrate (g),76.7
Fat (g),1
Protein (g),9.2
Fibre (g),0.5
Water (g),12
Monosaccharides (g),0
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.18
Sum of monounsaturated fatty acids (g),0.33
Sum of polyunsaturated fatty acids (g),0.34
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.42
Vitamin B-12 (�g),0
Phosphorus (mg),101
Iodide (�g),0
Iron (mg),0.4
Potassium (mg),76
Magnesium (mg),26
Sodium (mg),0
Salt (g),0
Selenium (�g),14
Zinc (mg),1.5
