label,count
Carbohydrate (g),4.4
Fat (g),0.5
Protein (g),1.01
Fibre (g),3.1
Water (g),90
Monosaccharides (g),0
Disaccharides (g),2.4
Sucrose (g),2.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.12
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.26
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.2
Vitamin K (�g),0.8
Vitamin C (mg),9.2
Vitamin B-6 (mg),0.22
Vitamin B-12 (�g),0
Phosphorus (mg),60
Iodide (�g),0
Iron (mg),0.34
Potassium (mg),296
Magnesium (mg),11.7
Sodium (mg),45
Salt (g),0.11
Selenium (�g),0
Zinc (mg),0.34
