label,count
Carbohydrate (g),1.5
Fat (g),0.1
Protein (g),0.7
Fibre (g),1.8
Water (g),95
Monosaccharides (g),0.9
Disaccharides (g),0.3
Sucrose (g),0.3
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.04
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.2
Vitamin K (�g),0
Vitamin C (mg),7
Vitamin B-6 (mg),0.09
Vitamin B-12 (�g),0
Phosphorus (mg),26
Iodide (�g),1.9
Iron (mg),0.4
Potassium (mg),320
Magnesium (mg),8
Sodium (mg),62
Salt (g),0.16
Selenium (�g),1
Zinc (mg),0.4
