label,count
Carbohydrate (g),0
Fat (g),0.5
Protein (g),18.19
Fibre (g),0
Water (g),81
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.08
Sum of monounsaturated fatty acids (g),0.05
Sum of polyunsaturated fatty acids (g),0.21
Cholesterol (mg),48.4
Vitamin D (�g),1.84
Vitamin E (mg),0.67
Vitamin K (�g),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.14
Vitamin B-12 (�g),1.41
Phosphorus (mg),217
Iodide (�g),180
Iron (mg),0.12
Potassium (mg),402
Magnesium (mg),27
Sodium (mg),59
Salt (g),0.15
Selenium (�g),27.3
Zinc (mg),0.6
