label,count
Carbohydrate (g),0.9
Fat (g),0.2
Protein (g),1.88
Fibre (g),1.77
Water (g),94.5
Monosaccharides (g),1.2
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.11
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.27
Vitamin K (µg),129
Vitamin C (mg),6
Vitamin B-6 (mg),0.08
Vitamin B-12 (µg),0
Phosphorus (mg),28
Iodide (µg),1
Iron (mg),0.54
Potassium (mg),300
Magnesium (mg),17
Sodium (mg),7
Salt (g),0.02
Selenium (µg),0
Zinc (mg),0.31
