Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (ug),Retinolequivalents (ug),Beta-carotene (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (ug),Folate (ug),Phosphorus (mg),Iodide (ug),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (ug),Zinc (mg),Waste (e.g. peel) (%)
green lentils canned,0.9,legumes,92.3,386.4,13.1,0.6,6.25,4.4,74.5,0,1.2,0.01,0.23,0.17,0,0,0.08,0,0,0,0.06,0.01,0,0.12,0,0.12,0.27,0.21,0.06,0,0,0,0,0,0,1,11,0,0.31,12.6,0.04,0.03,0,0.36,1.4,0.08,0,15.6,76.3,3.3,1.36,43.3,126.6,20.8,305.7,0.76,17.5,0.41,0
green peas,0.32,legumes,71.7,300.2,8.8,0.4,5.4,5.5,79,0,0.9,0.3,3.7,3.7,0,0,0.08,0,0,0,0.07,0,0,0.03,0,0.03,0.22,0.18,0.04,0,0,0,0,0,0,45.8,550,0,0.13,0,0.41,0.13,40,2.1,3,0.17,0,65,130,0.2,2,31,370,40,1,0,0.2,1.3,60
yellow peas,0.32,legumes,316.6,1324.50,49.2,1,21.5,10.7,15,0,2.6,0.3,1.8,1.8,0,0,0.19,0,0,0,0.17,0.01,0,0.07,0,0.07,0.54,0.45,0.09,0,0,0,0,0,0,1.2,15,0,0.09,0,0.82,0.18,1,2.5,6.08,0.08,0,33,380,45,6,59,1100.00,120,2,0.01,2,3.8,0
lentils,0.9,legumes,325.4,1361.50,48.5,1,24,11.5,12,0,3,0.3,2.1,2.1,0,0,0.15,0,0,0,0.13,0.01,0.01,0.18,0,0.17,0.47,0.38,0.09,0,0,0,0,0,0,5,60,0,0.34,0,0.37,0.22,0,2,6,0.6,0,433,375,0.7,6.8,79,790,80,30,0.08,11,3.1,0
red lenses,0.9,legumes,88.6,370.6,11.9,0.5,6.88,4.1,75.7,0,0.9,0.01,0.21,0.16,0,0,0.07,0,0,0,0.05,0.01,0,0.1,0,0.1,0.22,0.18,0.04,0,0,0,0,0,0,0.8,10,0,0.34,14.9,0.04,0.03,0,0.35,1.5,0.09,0,21.3,71.2,2.3,1.59,24.8,119,17.6,230.2,0.58,20.5,0.4,0
soy sausage,0.72,legumes,225.8,944.9,0.8,15.97,16.4,7.7,56.52,0,2.6,0.88,0.76,0.05,0,0,1.55,0,0,0.01,0.92,0.47,0.04,3.46,0.01,3.4,7.75,7.57,0.18,0,0,0,0,0,20,23.9,34,0,8.74,5.1,0.04,0.2,20.3,0.84,3.6,0.08,0,48.5,87.6,3,1.22,47,207,28,692,1.73,14.4,0.71,0
salmon,6.45,fish and seafood,180.9,756.8,0,12,18.4,0,68,0,1.6,0,0,0,0,0,2.55,0,0,0.35,1.72,0.36,0,4.97,1,3.63,3.28,0.41,0.18,0.11,0.49,0.25,1.33,70,30,30,0,12.5,1.3,0,0.23,0.1,0,6,9.37,0.98,6.2,26,200,40,0.8,20,330,24,57,0.14,26,0.4,35
herring,2.1,fish and seafood,147.5,617.2,0,9,16.72,0,71.2,0,1.8,0,0,0,0,0,1.98,0,0,0.62,1.12,0.1,0.01,3.66,0.36,0.84,2.34,0.2,0.17,0.09,0.42,0.08,0.92,57,6.4,6.4,0,5.78,0.71,0.4,0,0.21,0,4.96,8,0.3,8.79,11,276.5,41.5,0.62,56,334.5,36.5,198.5,0.5,25.25,1.42,30
tuna,6.1,fish and seafood,138,577.4,0,4.9,23.3,0,70.62,0,1.18,0,0,0,0,0,1.26,0,0,0.14,0.81,0.31,0,1.6,0.16,0.92,1.43,0.05,0,0.04,0.28,0.12,0.89,38,655,655,0,4.5,1,0,0.24,0.25,0,8.65,12.92,0.46,9.43,1.9,254,0,1.02,8,252,50,39,0.1,36.5,0.6,40
cod,4.7,fish and seafood,78.3,327.7,0,0.5,18.19,0,81,0,1.1,0,0,0,0,0,0.08,0,0,0,0.06,0.01,0,0.05,0.01,0.04,0.21,0.01,0,0.01,0.03,0.01,0.15,48.4,2.3,2.3,0,1.84,0.67,0,0.05,0.05,0,2.16,5.5,0.14,1.41,14,217,180,0.12,12,402,27,59,0.15,27.3,0.6,34
